Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
Ebstein-Barr virus LMP1 signaling,WP262,Homo sapiens,09 May 2021,,"Epstein-Barr virus infection pathway, oxidative phosphorylation pathway, disease pathway, classic metabolic pathway",,
Ectoderm differentiation,WP2858,Homo sapiens,12 May 2021,ExRNA,regulatory pathway,,
Ectoderm differentiation,WP3208,Bos taurus,21 May 2021,,regulatory pathway,,
Effect of L-carnitine on metabolism,WP3992,Danio rerio,07 Oct 2021,,"carnitine metabolic pathway, classic metabolic pathway",,"skeletal muscle fiber, hepatocyte, native cell"
Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists,WP5273,Homo sapiens,10 Dec 2022,,"vitamin and vitamin metabolites signaling pathway, vitamin K antagonist drug pathway, signaling pathway, drug pathway","vitamin K deficiency bleeding, disease of metabolism","gut absorptive cell, hepatocyte, native cell"
Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome,WP4320,Homo sapiens,09 May 2021,"Diseases, RareDiseases",disease pathway,"progeria, genetic disease",
Effects of nitric oxide,WP1995,Homo sapiens,07 May 2021,Micronutrients,"cardiovascular system homeostasis pathway, regulatory pathway",,
Effects of nitric oxide,WP3182,Bos taurus,07 May 2021,,"cardiovascular system homeostasis pathway, regulatory pathway",,
Eicosanoid lipid synthesis map,WP4335,Mus musculus,23 May 2021,,"inflammatory response pathway, eicosanoid biosynthetic pathway, regulatory pathway, classic metabolic pathway",,
Eicosanoid metabolism via cyclooxygenases (COX),WP4347,Mus musculus,18 Jan 2023,Lipids,"cyclooxygenase mediated pathway of arachidonic acid metabolism, inflammatory response pathway, arachidonic acid metabolic pathway, eicosanoid metabolic pathway, eicosanoid signaling pathway via peroxisome proliferator-activated receptor gamma, eicosanoid signaling pathway, eicosanoid biosynthetic pathway, classic metabolic pathway, regulatory pathway, signaling pathway",,
Eicosanoid metabolism via cyclooxygenases (COX),WP4719,Homo sapiens,03 May 2023,Lipids,"arachidonic acid metabolic pathway, eicosanoid biosynthetic pathway, cyclooxygenase mediated pathway of arachidonic acid metabolism, inflammatory response pathway, eicosanoid metabolic pathway, eicosanoid signaling pathway, eicosanoid signaling pathway via peroxisome proliferator-activated receptor gamma, classic metabolic pathway, regulatory pathway, signaling pathway",,
Eicosanoid metabolism via cytochrome P450 monooxygenases,WP4349,Mus musculus,18 Jan 2023,Lipids,"eicosanoid metabolic pathway, eicosanoid signaling pathway via peroxisome proliferator-activated receptor gamma, cytochrome P450 monooxygenase mediated pathway of arachidonic acid metabolism, classic metabolic pathway, signaling pathway",,
Eicosanoid metabolism via cytochrome P450 monooxygenases pathway,WP4720,Homo sapiens,18 Jan 2023,Lipids,"eicosanoid signaling pathway via peroxisome proliferator-activated receptor gamma, cytochrome P450 monooxygenase mediated pathway of arachidonic acid metabolism, eicosanoid metabolic pathway, signaling pathway, classic metabolic pathway",,
Eicosanoid metabolism via lipooxygenases (LOX),WP4721,Homo sapiens,18 Jan 2023,Lipids,"lipoxygenase mediated pathway of arachidonic acid metabolism, eicosanoid metabolic pathway, classic metabolic pathway",,
Eicosanoid metabolism via lipoxygenases (LOX),WP4348,Mus musculus,06 Apr 2023,Lipids,"eicosanoid metabolic pathway, lipoxygenase mediated pathway of arachidonic acid metabolism, classic metabolic pathway",,
Eicosanoid synthesis,WP1090,Canis familiaris,21 May 2021,,"eicosanoid biosynthetic pathway, classic metabolic pathway",,
Eicosanoid synthesis,WP1318,Danio rerio,14 May 2021,,"eicosanoid biosynthetic pathway, classic metabolic pathway",,
Eicosanoid synthesis,WP167,Homo sapiens,18 Jan 2023,Lipids,"inflammatory response pathway, eicosanoid biosynthetic pathway, regulatory pathway, classic metabolic pathway",,"epithelial cell, animal cell"
Eicosanoid synthesis,WP318,Mus musculus,23 May 2021,,"eicosanoid biosynthetic pathway, classic metabolic pathway",,
Eicosanoid synthesis,WP854,Pan troglodytes,21 May 2021,,"eicosanoid biosynthetic pathway, classic metabolic pathway",,
Eicosanoid synthesis,WP972,Bos taurus,21 May 2021,,"eicosanoid biosynthetic pathway, inflammatory response pathway, classic metabolic pathway, regulatory pathway",,"epithelial cell, animal cell"
Electron transport chain,WP1002,Bos taurus,21 May 2021,,"electron transport chain pathway, classic metabolic pathway",,
Electron transport chain,WP1119,Canis familiaris,21 May 2021,,"electron transport chain pathway, classic metabolic pathway",,
Electron transport chain,WP1339,Danio rerio,14 May 2021,,"electron transport chain pathway, classic metabolic pathway",,
Electron transport chain,WP295,Mus musculus,23 May 2021,,"electron transport chain pathway, classic metabolic pathway",,
Electron transport chain: OXPHOS system in mitochondria,WP111,Homo sapiens,25 May 2023,,"electron transport chain pathway, classic metabolic pathway",,
Elongation of (very) long chain fatty acids,WP4491,Mus musculus,24 Mar 2023,,"fatty acid elongation pathway, fatty acid metabolic pathway, fatty acid biosynthetic pathway, classic metabolic pathway",,
Embryonic stem cell pluripotency pathways,WP3931,Homo sapiens,22 May 2021,,"the extracellular signal-regulated Raf/Mek/Erk signaling pathway, signaling pathway",,"embryonic stem cell, animal cell"
Endochondral ossification,WP1065,Bos taurus,21 May 2021,,regulatory pathway,,"chondrocyte, osteoclast, obsolete osteochondroclast, animal cell"
Endochondral ossification,WP1270,Mus musculus,23 May 2021,,regulatory pathway,,
Endochondral ossification,WP474,Homo sapiens,17 May 2021,,regulatory pathway,,"osteoclast, obsolete osteochondroclast, chondrocyte, animal cell,"
Endochondral ossification with skeletal dysplasias,WP4808,Homo sapiens,22 May 2021,SkeletalDysplasia,regulatory pathway,,"osteoclast, obsolete osteochondroclast, chondrocyte, animal cell,"
Endoderm differentiation,WP2853,Homo sapiens,07 May 2021,ExRNA,regulatory pathway,,
Endoderm differentiation,WP3240,Bos taurus,21 May 2021,,regulatory pathway,,
Endometrial cancer,WP4155,Homo sapiens,12 Oct 2023,"CPTAC, Diseases","cancer pathway, disease pathway, endometrial cancer pathway","endometrial cancer, disease of cellular proliferation","epithelial cell of uterus, animal cell"
Endoplasmic reticulum stress response in coronavirus infection,WP4861,Homo sapiens,05 Jun 2021,COVID19,"disease pathway, stress response pathway, regulatory pathway","severe acute respiratory syndrome, viral infectious disease, disease by infectious agent",
Endothelin pathways,WP2197,Homo sapiens,22 May 2021,Renal_Genomics,"G protein mediated signaling pathway via Galphaq family, Ras superfamily mediated signaling pathway, G protein mediated signaling pathway via Galphai family, G protein mediated signaling pathway via Galphas family, endothelin signaling pathway, calcium/calmodulin dependent signaling pathway, signaling pathway, regulatory pathway","benign essential hypertension, hypertension, cardiovascular system disease","blood vessel endothelial cell, smooth muscle cell, native cell"
Endothelin pathways,WP3246,Bos taurus,21 May 2021,Renal_Genomics,"calcium/calmodulin dependent signaling pathway, G protein mediated signaling pathway via Galphai family, G protein mediated signaling pathway via Galphas family, Ras superfamily mediated signaling pathway, G protein mediated signaling pathway via Galphaq family, endothelin signaling pathway, regulatory pathway, signaling pathway","hypertension, benign essential hypertension, cardiovascular system disease","smooth muscle cell, blood vessel endothelial cell, native cell"
Energy metabolism,WP1541,Homo sapiens,28 Apr 2023,,"energy metabolic pathway, classic metabolic pathway",,
Enterocyte cholesterol metabolism,WP5333,Homo sapiens,30 May 2023,,"cholesterol metabolic pathway, cholesterol biosynthetic pathway, cholesterol transport pathway, classic metabolic pathway, regulatory pathway",,
Enterohepatic circulation of bile acids,WP5396,Homo sapiens,12 Jul 2023,,"bile acid transport pathway, regulatory pathway",,
Envelope proteins and their potential roles in EDMD physiopathology,WP4535,Homo sapiens,27 Feb 2020,RareDiseases,disease pathway,Emery-Dreifuss muscular dystrophy,
Epithelial to mesenchymal transition in colorectal cancer,WP4239,Homo sapiens,21 Sep 2023,CPTAC,"cancer pathway, disease pathway","colorectal cancer, disease of cellular proliferation","colon epithelial cell, animal cell"
Equilibrium signaling pathway of differentiated cells,WP3653,Drosophila melanogaster,07 May 2021,,"regulatory pathway, signaling pathway",,
ErbB signaling pathway,WP1261,Mus musculus,15 Dec 2019,,"epidermal growth factor/neuregulin signaling pathway, signaling pathway","cancer, multiple sclerosis, Alzheimer's disease, disease of cellular proliferation, central nervous system disease",
ErbB signaling pathway,WP1299,Rattus norvegicus,15 Dec 2019,,"epidermal growth factor/neuregulin signaling pathway, signaling pathway","multiple sclerosis, Alzheimer's disease, cancer, central nervous system disease, disease of cellular proliferation",
ErbB signaling pathway,WP673,Homo sapiens,26 Aug 2023,"CPTAC, ExRNA, PancCanNet","oxidative phosphorylation pathway, epidermal growth factor/neuregulin signaling pathway, classic metabolic pathway, signaling pathway","cancer, Alzheimer's disease, multiple sclerosis, disease of cellular proliferation, central nervous system disease",
Ergosterol biosynthesis,WP5354,Saccharomyces cerevisiae,25 May 2023,Lipids,"lipid signaling pathway, classic metabolic pathway, cholesterol biosynthetic pathway, cholesterol metabolic pathway, signaling pathway",,
Escherichia coli K-12 peripherome,WP2472,Escherichia coli,21 May 2021,,"classic metabolic pathway, regulatory pathway, signaling pathway",,
Estradiol regulation in porto-sinusoidal vascular disease,WP5235,Homo sapiens,08 Oct 2023,Diseases,"disease pathway, hypertension pathway","vascular disease, portal hypertension, cardiovascular system disease",
Estrogen metabolism,WP1053,Bos taurus,16 Aug 2019,,"C18-steroid hormone biosynthetic pathway, classic metabolic pathway",,
Estrogen metabolism,WP1264,Mus musculus,17 Sep 2019,,"steroid metabolic pathway, classic metabolic pathway",,
Estrogen metabolism,WP1302,Rattus norvegicus,17 Sep 2019,,"steroid metabolic pathway, classic metabolic pathway",,
Estrogen metabolism,WP5276,Homo sapiens,30 Jun 2023,,"steroid biosynthetic pathway, lipid metabolic pathway, classic metabolic pathway",,
Estrogen metabolism,WP697,Homo sapiens,17 Sep 2019,,"C18-steroid hormone biosynthetic pathway, classic metabolic pathway",,
Estrogen receptor pathway,WP2881,Homo sapiens,22 May 2021,,"estrogen signaling pathway, regulatory pathway",,
Estrogen receptor pathway,WP3163,Bos taurus,21 May 2021,,,,
Estrogen signaling,WP1244,Mus musculus,17 Dec 2020,,"estrogen signaling pathway, regulatory pathway",,
Estrogen signaling,WP1279,Rattus norvegicus,17 Sep 2019,,"estrogen signaling pathway, regulatory pathway",,
Estrogen signaling,WP1330,Danio rerio,15 May 2021,,"estrogen signaling pathway, regulatory pathway",,
Estrogen signaling pathway,WP712,Homo sapiens,17 Apr 2023,,"estrogen signaling pathway, regulatory pathway",,
Estrogen signaling pathway,WP986,Bos taurus,16 Aug 2019,,"estrogen signaling pathway, regulatory pathway",,
Ethanol effects on histone modifications,WP3996,Homo sapiens,30 Jan 2023,,"altered histone modification pathway, regulatory pathway","fetal alcohol spectrum disorder, disease of mental health",
Ethanol metabolism production of ROS by CYP2E1,WP4269,Homo sapiens,22 May 2021,,,,
Ethanol metabolism resulting in production of ROS by CYP2E1,WP4265,Mus musculus,17 Sep 2019,,"xenobiotic metabolic pathway, classic metabolic pathway",,
Ethanol metabolism resulting in production of ROS by CYP2E1,WP4268,Rattus norvegicus,17 Sep 2019,,,,
Ether lipid biosynthesis,WP5275,Homo sapiens,28 Sep 2023,"IEM, Lipids","ether lipid metabolic pathway, lipid metabolic pathway, classic metabolic pathway, Zellweger syndrome pathway, disease pathway","peroxisome biogenesis disorder 1A, rhizomelic chondrodysplasia punctata type 2, rhizomelic chondrodysplasia punctata type 5, rhizomelic chondrodysplasia punctata, rhizomelic chondrodysplasia punctata type 3, rhizomelic chondrodysplasia punctata type 1, Zellweger syndrome, genetic disease",
Ethylene signaling pathway,WP2851,Arabidopsis thaliana,28 Jul 2017,,signaling pathway,,
Ethylmalonic encephalopathy,WP5030,Homo sapiens,30 Nov 2021,"IEM, RareDiseases","ethylmalonic encephalopathy pathway, disease pathway","ethylmalonic encephalopathy, genetic disease",
Eukaryotic transcription initiation,WP1066,Bos taurus,27 May 2021,,"RNA polymerase III transcription initiation pathway, RNA polymerase II transcription initiation pathway, RNA polymerase I transcription initiation pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP1182,Canis familiaris,21 May 2021,,"transcription pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP1238,Anopheles gambiae,19 May 2021,,"transcription pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP177,Drosophila melanogaster,27 May 2021,,"RNA polymerase III transcription initiation pathway, RNA polymerase I transcription initiation pathway, RNA polymerase II transcription initiation pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP405,Homo sapiens,21 Apr 2023,,"RNA polymerase I transcription initiation pathway, RNA polymerase II transcription initiation pathway, RNA polymerase III transcription initiation pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP425,Saccharomyces cerevisiae,20 May 2021,,"transcription pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP518,Caenorhabditis elegans,24 May 2021,,"transcription pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP567,Mus musculus,23 May 2021,,"transcription pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP830,Gallus gallus,27 May 2021,,"RNA polymerase II transcription initiation pathway, RNA polymerase I transcription initiation pathway, RNA polymerase III transcription initiation pathway, regulatory pathway",,
Eukaryotic transcription initiation,WP948,Pan troglodytes,21 May 2021,,"transcription pathway, regulatory pathway",,
Evolocumab mechanism to reduce LDL cholesterol,WP3408,Homo sapiens,01 Feb 2023,Diseases,"altered cholesterol biosynthetic pathway, altered cholesterol transport pathway, drug pathway, classic metabolic pathway, regulatory pathway",,"hepatocyte, native cell"
Exercise-induced circadian regulation,WP3230,Bos taurus,21 May 2021,,regulatory pathway,,
Exercise-induced circadian regulation,WP410,Homo sapiens,17 May 2021,,regulatory pathway,,"cell of skeletal muscle, native cell"
Exercise-induced circadian regulation,WP544,Mus musculus,23 May 2021,,regulatory pathway,,"skeletal muscle fiber, native cell"
Exercise-induced circadian regulation,WP562,Danio rerio,14 May 2021,,regulatory pathway,,
Extracellular vesicle-mediated signaling in recipient cells,WP2870,Homo sapiens,28 Aug 2019,ExRNA,signaling pathway,"cancer, nervous system disease, disease of cellular proliferation",
Extracellular vesicle-mediated signaling in recipient cells,WP3161,Bos taurus,25 Jul 2016,,signaling pathway,"cancer, nervous system disease, disease of cellular proliferation",
Extracellular vesicles in the crosstalk of cardiac cells,WP4300,Homo sapiens,29 Jul 2019,ExRNA,,,"cardiac muscle cell, fibroblast of cardiac tissue, cardiac endothelial cell, native cell, animal cell"
Extrafollicular and follicular B cell activation by SARS-CoV-2,WP5218,Homo sapiens,18 Jan 2023,COVID19,"B cell receptor signaling pathway, disease pathway, signaling pathway","COVID-19, severe acute respiratory syndrome, disease by infectious agent","follicular B cell, native cell"
FABP4 in ovarian cancer,WP4400,Homo sapiens,29 Nov 2019,ExRNA,"microRNA pathway, cancer pathway, regulatory pathway, disease pathway","ovarian cancer, disease of cellular proliferation",
FAS pathway and stress induction of HSP regulation,WP1019,Bos taurus,01 Feb 2022,,"stress response pathway, FasL mediated signaling pathway, regulatory pathway",,
FAS pathway and stress induction of HSP regulation,WP1138,Canis familiaris,16 May 2021,,"FasL mediated signaling pathway, stress response pathway, regulatory pathway",,
FAS pathway and stress induction of HSP regulation,WP571,Mus musculus,23 May 2021,,"FasL mediated signaling pathway, regulatory pathway",,
FAS pathway and stress induction of HSP regulation,WP788,Gallus gallus,18 May 2021,,"FasL mediated signaling pathway, regulatory pathway",,
FAS pathway and stress induction of HSP regulation,WP902,Pan troglodytes,16 May 2021,,"FasL mediated signaling pathway, stress response pathway, regulatory pathway",,
FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma,WP4553,Homo sapiens,20 Mar 2019,"CPTAC, Diseases","altered extracellular signal-regulated Raf/Mek/Erk signaling pathway, signaling pathway","diffuse large B-cell lymphoma, disease of cellular proliferation",
FGF signaling pathway,WP152,Danio rerio,27 May 2021,,"fibroblast growth factor signaling pathway, signaling pathway",,
FGF23 signaling in hypophosphatemic rickets and related disorders,WP4790,Homo sapiens,07 May 2021,SkeletalDysplasia,"altered fibroblast growth factor 23 signaling pathway, regulatory pathway","X-linked dominant hypophosphatemic rickets, genetic disease",
FGFR3 signaling in chondrocyte proliferation and terminal differentiation,WP4767,Homo sapiens,01 Sep 2023,SkeletalDysplasia,"parathyroid hormone signaling pathway, fibroblast growth factor signaling pathway, thyroid hormone signaling pathway, regulatory pathway, signaling pathway","Muenke Syndrome, genetic disease",
FOXA2 pathway,WP5066,Homo sapiens,09 May 2021,,regulatory pathway,,
FOXP3 in COVID-19,WP5063,Homo sapiens,02 Jun 2021,COVID19,disease pathway,"COVID-19, disease by infectious agent","T cell, native cell"
FSH signaling pathway,WP3158,Bos taurus,28 Mar 2021,,"follicle-stimulating hormone signaling pathway, signaling pathway",,"granulosa cell, gonadtroph, animal cell, native cell"
FTO obesity variant mechanism,WP3407,Homo sapiens,18 Jan 2023,Diseases,"disease pathway, obesity pathway","obesity, disease of metabolism",
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling,WP3675,Mus musculus,21 Oct 2016,,"growth factor signaling pathway, insulin-like growth factor signaling pathway, signaling pathway",,"cell of skeletal muscle, native cell"
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling,WP3850,Homo sapiens,26 Feb 2022,,"signaling pathway, growth factor signaling pathway, insulin-like growth factor signaling pathway",,"cell of skeletal muscle, native cell"
Familial hyperlipidemia type 1,WP5108,Homo sapiens,30 Nov 2021,RareDiseases,disease pathway,"familial GPIHBP1 deficiency, familial lipase maturation factor 1 deficiency, familial chylomicronemia due to inhibition of lipoprotein lipase activity, familial lipoprotein lipase deficiency, familial apolipoprotein C-II deficiency, familial hyperlipidemia, familial chylomicronemia syndrome, genetic disease",
Familial hyperlipidemia type 2,WP5109,Homo sapiens,30 Nov 2021,RareDiseases,disease pathway,"familial hyperlipidemia, familial combined hyperlipidemia, familial hypercholesterolemia, genetic disease",
Familial hyperlipidemia type 3,WP5110,Homo sapiens,30 Nov 2021,RareDiseases,disease pathway,"familial hyperlipidemia, hyperlipoproteinemia type III, genetic disease",
Familial hyperlipidemia type 4,WP5111,Homo sapiens,20 Jun 2021,RareDiseases,disease pathway,"familial hyperlipidemia, hyperlipoproteinemia type IV, genetic disease",
Familial hyperlipidemia type 5,WP5112,Homo sapiens,18 Jun 2021,RareDiseases,disease pathway,"hyperlipoproteinemia type V, familial hyperlipidemia, genetic disease",
Familial partial lipodystrophy,WP5102,Homo sapiens,20 Jun 2021,RareDiseases,disease pathway,"familial partial lipodystrophy type 6, familial partial lipodystrophy type 3, familial partial lipodystrophy, familial partial lipodystrophy type 1, familial partial lipodystrophy type 5, disease, familial partial lipodystrophy type 2, familial partial lipodystrophy type 4, genetic disease,",
Farnesoid X receptor pathway,WP2879,Homo sapiens,07 May 2021,,"bile acid signaling pathway, regulatory pathway",,
Farnesyl to CoQ10 metabolism,WP5274,Homo sapiens,10 Dec 2022,,"classic metabolic pathway, isoprenoid biosynthetic pathway, metabolic pathway of cofactors, vitamins, nutrients",,
Fas ligand pathway and stress induction of heat shock proteins,WP314,Homo sapiens,21 Apr 2023,,"stress response pathway, FasL mediated signaling pathway, regulatory pathway",,
Fatty Acids and Lipoproteins Transport in Hepatocytes,WP5323,Homo sapiens,10 Aug 2023,,,,"hepatocyte, centrilobular region hepatocyte, native cell"
Fatty acid beta-oxidation,WP1269,Mus musculus,18 Jan 2023,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Fatty acid beta-oxidation,WP143,Homo sapiens,18 Jan 2023,"CPTAC, Lipids","fatty acid degradation pathway, fatty acid metabolic pathway, fatty acid beta degradation pathway, classic metabolic pathway","lipid metabolism disorder, genetic disease",
Fatty acid beta-oxidation 1,WP126,Caenorhabditis elegans,27 May 2021,Lipids,"classic metabolic pathway, fatty acid beta degradation pathway",,
Fatty acid beta-oxidation 1,WP39,Drosophila melanogaster,18 Jan 2023,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Fatty acid beta-oxidation 2,WP148,Caenorhabditis elegans,28 May 2021,Lipids,"fatty acid beta degradation pathway, classic metabolic pathway",,
Fatty acid beta-oxidation 3,WP25,Drosophila melanogaster,04 Jun 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Fatty acid beta-oxidation 3,WP499,Caenorhabditis elegans,28 May 2021,Lipids,"fatty acid beta degradation pathway, classic metabolic pathway",,
Fatty acid beta-oxidation meta-pathway,WP209,Caenorhabditis elegans,04 Jun 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Fatty acid biosynthesis,WP1020,Bos taurus,04 Feb 2023,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
Fatty acid biosynthesis,WP336,Mus musculus,04 Feb 2023,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
Fatty acid biosynthesis,WP357,Homo sapiens,04 Feb 2023,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
Fatty acid biosynthesis,WP38,Caenorhabditis elegans,04 Feb 2023,Lipids,"fatty acid biosynthetic pathway, classic metabolic pathway",,
Fatty acid biosynthesis,WP504,Rattus norvegicus,04 Feb 2023,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
Fatty acid biosynthesis,WP568,Drosophila melanogaster,04 Feb 2023,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
"Fatty acid biosynthesis, initial steps",WP137,Saccharomyces cerevisiae,20 May 2021,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
"Fatty acid elongation, saturated",WP380,Saccharomyces cerevisiae,20 May 2021,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
"Fatty acid elongation, unsaturated",WP16,Saccharomyces cerevisiae,18 Jan 2023,,"fatty acid biosynthetic pathway, classic metabolic pathway",,
Fatty acid omega-oxidation,WP133,Rattus norvegicus,16 May 2021,,"fatty acid degradation pathway, fatty acid omega degradation pathway, classic metabolic pathway",,
Fatty acid omega-oxidation,WP206,Homo sapiens,22 May 2021,,"fatty acid degradation pathway, fatty acid omega degradation pathway, fatty acid metabolic pathway, classic metabolic pathway","lipid metabolism disorder, genetic disease",
Fatty acid omega-oxidation,WP33,Mus musculus,23 May 2021,,"fatty acid omega degradation pathway, classic metabolic pathway",,
Fatty acid omega-oxidation,WP852,Pan troglodytes,21 May 2021,,"fatty acid omega degradation pathway, classic metabolic pathway",,
Fatty acid omega-oxidation,WP970,Bos taurus,21 May 2021,,"fatty acid metabolic pathway, fatty acid degradation pathway, fatty acid omega degradation pathway, classic metabolic pathway","lipid metabolism disorder, genetic disease",
Fatty acid oxidation,WP2318,Mus musculus,17 Sep 2019,,"classic metabolic pathway, fatty acid degradation pathway",,
Fatty acid oxidation,WP91,Saccharomyces cerevisiae,18 Jan 2023,,"fatty acid degradation pathway, classic metabolic pathway",,
Fatty acid transporters,WP5061,Homo sapiens,26 Feb 2021,,"transport pathway, regulatory pathway",,
Felbamate metabolism,WP2816,Homo sapiens,22 May 2021,,"nervous system drug pathway, xenobiotic metabolic pathway, drug pathway, classic metabolic pathway",,
Felbamate metabolism,WP3189,Bos taurus,21 May 2021,,"nervous system drug pathway, drug pathway",,
Female steroid hormones in cardiomyocyte energy metabolism,WP5318,Homo sapiens,06 Mar 2023,,classic metabolic pathway,,
Ferroptosis,WP4313,Homo sapiens,09 Dec 2021,,"ferroptosis pathway, mitochondrial disease pathway, cell death pathway, unsaturated fatty acid biosynthetic pathway, regulatory pathway, disease pathway, classic metabolic pathway","epilepsy, central nervous system disease",
Fibrin complement receptor 3 signaling pathway,WP4136,Homo sapiens,21 Sep 2023,,"inflammatory response pathway, coagulation cascade pathway, classical complement pathway, regulatory pathway",,"microglial cell, macrophage, animal cell, native cell"
Fibrin complement receptor 3 signaling pathway,WP5128,Mus musculus,30 Nov 2021,,"classical complement pathway, inflammatory response pathway, coagulation cascade pathway, regulatory pathway",,"microglial cell, macrophage, animal cell, native cell"
Flavan-3-ol metabolic pathway,WP4238,Homo sapiens,01 Feb 2023,,classic metabolic pathway,,
Flavonoid biosynthesis,WP1538,Arabidopsis thaliana,28 Apr 2023,,"flavonoid biosynthetic pathway, classic metabolic pathway",,
Flavonoid pathway,WP3620,Arabidopsis thaliana,27 May 2021,,"classic metabolic pathway, flavonoid biosynthetic pathway",,
Flower development,WP618,Arabidopsis thaliana,18 Apr 2023,,"signaling pathway, signaling pathway pertinent to development",,
Flower development: initiation,WP2108,Arabidopsis thaliana,19 May 2021,,"signaling pathway pertinent to development, signaling pathway",,
Flowering time pathway,WP2603,Beta vulgaris,03 Jun 2021,,signaling pathway,,
Flowering time pathway,WP2625,Hordeum vulgare,01 Feb 2023,,signaling pathway,,
Flowering time pathway,WP4339,Brassica napus,21 May 2021,,signaling pathway,,
Fluoroacetic acid toxicity,WP4966,Homo sapiens,18 Sep 2020,,"disease pathway, altered citric acid cycle pathway, altered metabolic pathway, classic metabolic pathway",,
Fluoropyrimidine activity,WP1601,Homo sapiens,25 Apr 2023,"CPTAC, Diseases, ExRNA","cancer pathway, drug pathway, disease pathway","cancer, disease of cellular proliferation","hepatocyte, native cell"
Fluoropyrimidine activity,WP3275,Bos taurus,21 May 2021,,"drug pathway, cancer pathway, disease pathway","cancer, disease of cellular proliferation","hepatocyte, native cell"
Focal adhesion,WP188,Rattus norvegicus,16 May 2021,,"cell adhesion signaling pathway, signaling pathway",,
Focal adhesion,WP306,Homo sapiens,10 Aug 2023,,"cell adhesion signaling pathway, signaling pathway",,
Focal adhesion,WP3197,Bos taurus,21 May 2021,,"cell adhesion signaling pathway, signaling pathway",,
Focal adhesion,WP85,Mus musculus,11 May 2021,,"cell adhesion signaling pathway, signaling pathway",,
Focal adhesion: PI3K-Akt-mTOR signaling pathway,WP2841,Mus musculus,11 May 2021,,"signaling pathway, phosphatidylinositol 3-kinase signaling pathway, mTOR signaling pathway, cell adhesion signaling pathway, regulatory pathway",,
Focal adhesion: PI3K-Akt-mTOR-signaling pathway,WP3932,Homo sapiens,26 Nov 2021,"CPTAC, PancCanNet","cell adhesion signaling pathway, signaling pathway, mTOR signaling pathway, regulatory pathway",,
Folate biosynthesis,WP2360,Bacillus subtilis,24 May 2021,,"classic metabolic pathway, folate metabolic pathway, regulatory pathway",,
Folate metabolism,WP1075,Bos taurus,29 Jan 2022,,"folate metabolic pathway, regulatory pathway",,
Folate metabolism,WP176,Homo sapiens,26 Feb 2022,Micronutrients,"folate metabolic pathway, regulatory pathway",,
Folate-alcohol and cancer pathway,WP3120,Bos taurus,21 May 2021,,"cancer pathway, disease pathway",,
Folate-alcohol and cancer pathway hypotheses,WP1589,Homo sapiens,28 Apr 2023,Diseases,"disease pathway, cancer pathway","oral cavity cancer, disease of cellular proliferation",
Folic acid network,WP1273,Mus musculus,18 Jan 2023,,"folate metabolic pathway, regulatory pathway",,
Folic acid network,WP1311,Rattus norvegicus,18 Jan 2023,,"folate metabolic pathway, regulatory pathway",,
Follicle stimulating hormone (FSH) signaling pathway,WP2035,Homo sapiens,23 Apr 2023,,"follicle-stimulating hormone signaling pathway, signaling pathway",,"granulosa cell, gonadtroph, animal cell, native cell"
Fragile X syndrome,WP4549,Homo sapiens,14 Nov 2023,RareDiseases,"disease pathway, brain disease pathway","fragile X syndrome, autism spectrum disorder, genetic disease, disease of mental health","neuron, animal cell"
Fructose and mannose metabolism,WP1652,Mycobacterium tuberculosis,15 Dec 2017,,"fructose and mannose metabolic pathway, classic metabolic pathway",,
Fructose metabolism in proximal tubules,WP3894,Rattus norvegicus,06 Apr 2023,Renal_Genomics,"carbohydrate metabolic pathway, classic metabolic pathway","renal hypertension, hereditary fructose intolerance syndrome, fructose-1,6-bisphosphatase deficiency, hypertension, cardiovascular system disease, genetic disease","epithelial cell of proximal tubule, animal cell"
Frustrated phagocytosis leading to malignant pleural mesothelioma,WP5091,Homo sapiens,10 Dec 2022,AOP,,"malignant pleural mesothelioma, disease of cellular proliferation","mesothelial cell, native cell"
